trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.95, 'e': 0.0037314100463728024}",20,15,7.215297099870233,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.95, 'e': 0.003544839544054162}",20,10,19.055128942619135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.95, 'e': 0.0033675975668514537}",25,18,13.610960409024432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.95, 'e': 0.003199217688508881}",25,14,15.958225896775529,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.95, 'e': 0.0030392568040834367}",20,11,14.14845143223192,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.95, 'e': 0.0028872939638792646}",20,10,17.60636736927291,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.95, 'e': 0.0027429292656853013}",20,8,24.981409295536068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.95, 'e': 0.0026057828024010363}",20,6,2.951031384298353,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.95, 'e': 0.0024754936622809844}",25,0,36.467060273719625,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.95, 'e': 0.002351718979166935}",20,12,7.195413071425215,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.95, 'e': 0.002234133030208588}",25,13,23.58652895341475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.95, 'e': 0.0021224263786981585}",30,18,22.549459744947786,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.95, 'e': 0.0020163050597632507}",20,14,13.252407828629838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.95, 'e': 0.001915489806775088}",20,10,16.570206222797793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.95, 'e': 0.0018197153164363335}",30,13,-11.002150664074689,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.95, 'e': 0.0017287295506145167}",20,11,17.47174704819524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.95, 'e': 0.001642293073083791}",25,19,13.113822530469474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.95, 'e': 0.0015601784194296012}",25,16,18.821644031015328,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.95, 'e': 0.0014821694984581211}",25,13,22.375669773756414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.95, 'e': 0.001408061023535215}",25,14,22.374667774853492,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.95, 'e': 0.001337657972358454}",25,15,21.302631339332162,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.95, 'e': 0.0012707750737405313}",20,13,11.37442145961399,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.95, 'e': 0.0012072363200535047}",30,21,18.472346662922206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.95, 'e': 0.0011468745040508295}",30,18,24.49673844054302,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.95, 'e': 0.001089530778848288}",30,16,28.683578676196014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.95, 'e': 0.0010350542399058735}",20,14,13.417265905009101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.95, 'e': 0.0009833015279105798}",25,19,10.657012129604135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.95, 'e': 0.0009341364515150507}",20,13,12.248345982961709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.95, 'e': 0.0008874296289392981}",25,17,16.012138494439295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
