trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
179,False,"{'a': 0.95, 'e': 0.00010292605961181949}",20,13,12.93137863916078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.95, 'e': 9.777975663122851e-05}",25,8,32.10255947168926,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.95, 'e': 9.289076879966709e-05}",20,14,11.89923431472824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.95, 'e': 8.824623035968373e-05}",20,10,18.203540647476157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.95, 'e': 8.383391884169954e-05}",20,16,6.016863347565241,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.95, 'e': 7.964222289961456e-05}",35,21,27.742100412236017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.95, 'e': 7.566011175463383e-05}",20,15,11.51065972222301,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.95, 'e': 7.187710616690214e-05}",20,14,11.645984899887523,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.95, 'e': 6.828325085855701e-05}",20,12,15.227365887050672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.95, 'e': 6.486908831562916e-05}",20,8,23.137793283826767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.95, 'e': 6.16256338998477e-05}",30,19,20.85884909877,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.95, 'e': 5.8544352204855315e-05}",20,5,23.158869132696232,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.95, 'e': 5.561713459461255e-05}",30,15,28.06647145883311,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.95, 'e': 5.283627786488192e-05}",20,6,29.887432035969614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.95, 'e': 5.0194463971637824e-05}",25,16,16.550721541443906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.95, 'e': 4.7684740773055926e-05}",35,13,41.602227370168286,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.95, 'e': 4.530050373440313e-05}",30,22,13.729730648282352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.95, 'e': 4.303547854768297e-05}",20,10,18.024972294891988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.95, 'e': 4.088370462029882e-05}",20,12,16.121738989088744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.95, 'e': 3.883951938928388e-05}",30,17,24.076378753876455,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.95, 'e': 3.6897543419819684e-05}",30,22,15.621739987190828,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.95, 'e': 3.50526662488287e-05}",20,15,7.8016206912373,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.95, 'e': 3.3300032936387256e-05}",20,6,25.144561381693983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,7.404100540280611,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,25.246800256447585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,28.401083295774164,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,15,7.864639964297129,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,4,39.922873829721205,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,22.191290230845276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,23.201935461305037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,27.133760673002595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,24.25548440223282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,12,25.935326990163723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
